Model,Horizon_months,MAE,RMSE,MAPE_%,n,Baseline_RMSE,Skill_%
XGBoost,1,66.40934160641523,90.71760768576702,14.369765154992647,102,129.0828819049737,29.721426770940752
Moving average (12m),1,70.73860269850671,96.56059321188694,14.508940035646628,102,129.0828819049737,25.19488890636059
Ridge (a=0.1),1,75.1033656689308,99.43564148154259,16.235679756659113,102,129.0828819049737,22.96760034011045
Linear,1,75.12806517458196,99.44587133617664,16.24411515773963,102,129.0828819049737,22.959675312033077
Lasso (a=0.01),1,78.75392321331434,120.58757260144748,15.68813609811824,102,129.0828819049737,6.581282644262753
Seasonal naive (t-12),1,91.72870867359397,129.0828819049737,19.19271817551168,102,129.0828819049737,0.0
Moving average (12m),3,74.66586920772825,104.46394709780809,14.9767209746892,96,138.26975277596134,24.44916910564586
XGBoost,3,74.92034602808108,115.07789358884878,14.415273102673796,96,138.26975277596134,16.772908551221867
Ridge (a=0.1),3,88.52090056393548,123.10148762694338,18.232851088531447,96,138.26975277596134,10.970052990255297
Linear,3,88.60105932715125,123.17138214006788,18.249335780736338,96,138.26975277596134,10.919503602756397
Lasso (a=0.01),3,84.60875421956182,131.33127376375077,17.02024472374919,96,138.26975277596134,5.018074360379443
Seasonal naive (t-12),3,95.59370039827667,138.26975277596134,19.510298184278465,96,138.26975277596134,0.0
Moving average (12m),6,76.0946741990674,105.69345295575259,15.204154967963696,90,140.95993940236588,25.018800799811757
XGBoost,6,77.49703388412217,115.42629334140425,15.204351641921518,90,140.95993940236588,18.11411537860882
Ridge (a=0.1),6,88.44467593113737,123.8286560894907,18.09855740625304,90,140.95993940236588,12.153299288796116
Linear,6,88.52589230159322,123.88969185812705,18.114785487740566,90,140.95993940236588,12.109999207301247
Lasso (a=0.01),6,87.96546379351211,137.30513377184053,17.42469814243603,90,140.95993940236588,2.5927973905357726
Seasonal naive (t-12),6,97.35064579910618,140.95993940236588,19.677823239769715,90,140.95993940236588,0.0
Moving average (12m),12,79.66149408468603,110.46347877095717,15.199618900609632,78,139.84189273992592,21.00830687668531
XGBoost,12,83.1021284083683,121.21789007264094,15.266993030626372,78,139.84189273992592,13.317899452291726
Ridge (a=0.1),12,98.14521651117283,133.15301075838119,19.361395419889437,78,139.84189273992592,4.783174662820489
Linear,12,98.22859384862062,133.22035326657013,19.379476919854348,78,139.84189273992592,4.735018486677911
Seasonal naive (t-12),12,96.17632648457798,139.84189273992592,19.16135826826174,78,139.84189273992592,0.0
Lasso (a=0.01),12,97.7941507554601,153.2018799741539,18.776376985724024,78,139.84189273992592,-9.55363730600709
