Year,Quarter,Month number,Region,Offence category,Offence type,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,Alcohol_offences,DV_offences
2015,1,1,Barkly,02 Assault,Assault,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,4,0,0
2015,1,1,Barkly,02 Assault,Assault,0,1,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,10,0,10
2015,1,1,Barkly,02 Assault,Assault,1,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,8,8,0
2015,1,1,Barkly,02 Assault,Assault,1,1,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,18,18,18
2015,1,1,Barkly,03 Sexual offences,Sexual assault,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,4,0,0
2015,1,1,Barkly,04 Harm or endanger persons,Deprivation of liberty /false imprisonment,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,1,0,0
2015,1,1,Barkly,061 Burglary - dwelling,House break-ins actual,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,8,0,0
2015,1,1,Barkly,062 Burglary - non-residential,Commercial break-ins actual,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,14,0,0
2015,1,1,Barkly,062 Burglary - non-residential,Commercial break-ins attempted,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,1,0,0
2015,1,1,Barkly,07 Theft,Illegal use of a motor vehicle,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,2,0,0
