Region,Quarter Ending,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC
Alice Springs,2023-03-31,29.392999999999997,7822.660873999999,45.621,1634.5506,17636.045349999993,6115.20624,21611.290560000005,10428.975900000003,301.17330000000004,65624.91682400003
Alice Springs,2023-06-30,12.733,10876.557398,133.4405,1766.3195999999998,19380.4919,7804.75692,22756.923839999996,11806.154849999999,304.5056999999999,74841.88370800002
Alice Springs,2023-09-30,18.564,11213.118671999999,115.1255,1728.7272000000003,19070.070250000004,7504.932930000003,23243.83391999999,11151.865200000004,269.42939999999993,74315.667072
Alice Springs,2023-12-31,21.063,9324.009379999998,52.068250000000006,1858.0901999999999,19550.556025000005,8684.327910000005,21843.9288,11761.243900000003,319.58189999999996,73414.869365
Darwin,2023-03-31,3484.082000000001,36795.05168500002,463.882875,5180.862360000002,43343.350049999965,15867.229080000006,55047.353664000024,30648.38979999997,1307.4878999999985,192137.6894139998
Darwin,2023-06-30,4081.104999999999,46580.360162,522.57875,7126.711199999992,58104.61387500003,20590.965569999986,70786.26115199999,37901.295249999996,1456.6511999999989,247150.5421590002
Darwin,2023-09-30,4375.035000000002,55185.37606399998,564.8419999999999,7293.679799999996,65228.886799999935,23270.134289999998,78889.63132800005,41269.654650000004,1640.1539999999995,277717.3939319998
Darwin,2023-12-31,3687.81,43123.72813000001,607.40125,5875.604999999997,58311.22450999996,22572.080940000007,65680.33391999998,37200.435999999994,1416.260699999999,238474.88045000038
Katherine,2023-03-31,51.646,2044.146062,39.96,698.271,8825.730759999997,3423.96606,8907.696959999997,7944.273050000001,249.23820000000003,32184.92809199999
Katherine,2023-06-30,108.28999999999999,3600.000614,45.09375,901.5132000000001,9488.89865,4741.513650000001,11220.922079999998,9759.075550000001,273.40319999999997,40138.710694
Katherine,2023-09-30,155.176,4479.887566,55.250620000000005,1215.1878,11338.981500000002,5555.02164,14320.99728,12128.445000000002,382.152,49631.09940600002
Katherine,2023-12-31,48.90899999999999,2377.32131,28.305,1014.3317999999998,9742.409599999999,5280.7935,11571.251040000003,10225.557649999999,284.7396,40573.618500000004
Nhulunbuy,2023-03-31,19.991999999999997,1118.79635,34.6875,308.7486,2912.916159999999,1384.7272200000002,4030.579199999999,2523.6092,28.2348,12362.29103
Nhulunbuy,2023-06-30,34.272,1231.08356,67.71,338.29740000000004,3053.5204699999986,1465.0772700000002,4496.278560000001,2613.5294500000005,55.17,13354.938709999999
Nhulunbuy,2023-09-30,69.972,1541.506722,52.447500000000005,353.34900000000005,3699.4649999999983,2153.3596800000005,4959.617759999999,2850.5701,60.812999999999995,15741.100761999996
Nhulunbuy,2023-12-31,31.415999999999997,1183.5751899999998,56.8875,370.4382,3005.40625,1898.0241900000003,4715.254080000001,3082.3341500000006,60.2478,14403.58336
NT Balance,2023-03-31,1074.689,9347.967174000001,232.72074999999998,3257.4216,19471.142075,11905.346040000008,28132.175759999987,32408.851299999988,1228.9706999999994,107059.284399
NT Balance,2023-06-30,1471.792,14957.507459999993,331.57550000000003,4604.872199999998,25094.867875000004,16415.856360000005,39035.26224,42301.60514999998,1310.6483999999994,145523.98718499992
NT Balance,2023-09-30,1709.7919999999997,16622.144076999997,384.3782,5005.698600000001,29737.1305,18873.498569999985,44866.656480000005,46687.6361,1439.9025,165326.837027
NT Balance,2023-12-31,1315.902,11755.182712,311.06825000000003,4312.5384,27168.980299999996,18244.093739999982,35436.31055999998,45042.59655,1364.7569999999996,144951.42951199997
Palmerston,2023-03-31,1108.723,9569.922641999996,179.25575,2387.2262400000004,16378.528704999995,9101.6061,20488.013279999996,17195.479350000012,728.3348999999998,77137.089967
Palmerston,2023-06-30,1555.3300000000002,10244.300164,183.742,2718.384240000001,17516.86166999999,10753.209030000004,22684.866527999995,19261.87795,784.4726999999999,85703.04428199999
Palmerston,2023-09-30,1541.526,11916.872772,244.93075,3126.8668799999996,20245.017099999983,12943.279560000003,26138.989535999994,21624.181950000002,885.6296999999998,98667.294248
Palmerston,2023-12-31,1398.2499999999998,10205.743450000002,214.08200000000002,2888.9525999999996,20002.0513,13618.101420000005,23091.19776,20662.848149999998,798.3242999999998,92879.55098
Tennant Creek,2023-03-31,791.112,411.0140999999999,6.66,258.126,3225.3375000000005,753.1866,3821.273759999999,2414.8281500000003,17.55,11699.08811
Tennant Creek,2023-06-30,812.5319999999999,425.0917999999999,5.124499999999999,343.644,3969.889,971.8329,4607.95488,2779.1760500000005,10.53,13925.77513
Tennant Creek,2023-09-30,858.2280000000001,625.8448,0.0,434.41920000000005,4180.715,1196.1621,4698.024000000001,2800.2992500000005,6.6899999999999995,14800.38235
Tennant Creek,2023-12-31,806.8199999999999,407.3013,0.0,411.114,3553.8579999999997,1010.5427400000002,4760.544000000001,2564.63445,10.53,13525.344490000001
