Year,Status,Sex,Age Group,Aboriginal status,Region,Population
1986,Final,Male,0-,Aboriginal,Barkly,228
1986,Final,Male,0-,Aboriginal,Big Rivers,438
1986,Final,Male,0-,Aboriginal,Central Australia,685
1986,Final,Male,0-,Aboriginal,East Arnhem,404
1986,Final,Male,0-,Aboriginal,Greater Darwin,396
1986,Final,Male,0-,Aboriginal,Top End,439
1986,Final,Male,0-,Non-Aboriginal,Barkly,112
1986,Final,Male,0-,Non-Aboriginal,Big Rivers,454
1986,Final,Male,0-,Non-Aboriginal,Central Australia,847
1986,Final,Male,0-,Non-Aboriginal,East Arnhem,192
1986,Final,Male,0-,Non-Aboriginal,Greater Darwin,3720
1986,Final,Male,0-,Non-Aboriginal,Top End,120
1986,Final,Female,0-,Aboriginal,Barkly,234
1986,Final,Female,0-,Aboriginal,Big Rivers,446
1986,Final,Female,0-,Aboriginal,Central Australia,656
1986,Final,Female,0-,Aboriginal,East Arnhem,324
1986,Final,Female,0-,Aboriginal,Greater Darwin,382
1986,Final,Female,0-,Aboriginal,Top End,468
1986,Final,Female,0-,Non-Aboriginal,Barkly,82
1986,Final,Female,0-,Non-Aboriginal,Big Rivers,437
1986,Final,Female,0-,Non-Aboriginal,Central Australia,871
1986,Final,Female,0-,Non-Aboriginal,East Arnhem,183
1986,Final,Female,0-,Non-Aboriginal,Greater Darwin,3567
1986,Final,Female,0-,Non-Aboriginal,Top End,107
1986,Final,Male,10-,Aboriginal,Barkly,207
1986,Final,Male,10-,Aboriginal,Big Rivers,359
1986,Final,Male,10-,Aboriginal,Central Australia,583
1986,Final,Male,10-,Aboriginal,East Arnhem,377
1986,Final,Male,10-,Aboriginal,Greater Darwin,498
1986,Final,Male,10-,Aboriginal,Top End,378
1986,Final,Male,10-,Non-Aboriginal,Barkly,74
1986,Final,Male,10-,Non-Aboriginal,Big Rivers,322
1986,Final,Male,10-,Non-Aboriginal,Central Australia,804
1986,Final,Male,10-,Non-Aboriginal,East Arnhem,212
1986,Final,Male,10-,Non-Aboriginal,Greater Darwin,3613
1986,Final,Male,10-,Non-Aboriginal,Top End,98
1986,Final,Female,10-,Aboriginal,Barkly,192
1986,Final,Female,10-,Aboriginal,Big Rivers,366
1986,Final,Female,10-,Aboriginal,Central Australia,601
1986,Final,Female,10-,Aboriginal,East Arnhem,329
1986,Final,Female,10-,Aboriginal,Greater Darwin,416
1986,Final,Female,10-,Aboriginal,Top End,374
1986,Final,Female,10-,Non-Aboriginal,Barkly,57
1986,Final,Female,10-,Non-Aboriginal,Big Rivers,253
1986,Final,Female,10-,Non-Aboriginal,Central Australia,709
1986,Final,Female,10-,Non-Aboriginal,East Arnhem,163
1986,Final,Female,10-,Non-Aboriginal,Greater Darwin,3445
1986,Final,Female,10-,Non-Aboriginal,Top End,60
1986,Final,Male,15-,Aboriginal,Barkly,205
1986,Final,Male,15-,Aboriginal,Big Rivers,341
1986,Final,Male,15-,Aboriginal,Central Australia,508
1986,Final,Male,15-,Aboriginal,East Arnhem,347
1986,Final,Male,15-,Aboriginal,Greater Darwin,385
1986,Final,Male,15-,Aboriginal,Top End,352
1986,Final,Male,15-,Non-Aboriginal,Barkly,157
1986,Final,Male,15-,Non-Aboriginal,Big Rivers,298
1986,Final,Male,15-,Non-Aboriginal,Central Australia,742
1986,Final,Male,15-,Non-Aboriginal,East Arnhem,140
1986,Final,Male,15-,Non-Aboriginal,Greater Darwin,3339
1986,Final,Male,15-,Non-Aboriginal,Top End,90
1986,Final,Female,15-,Aboriginal,Barkly,196
1986,Final,Female,15-,Aboriginal,Big Rivers,384
1986,Final,Female,15-,Aboriginal,Central Australia,629
1986,Final,Female,15-,Aboriginal,East Arnhem,297
1986,Final,Female,15-,Aboriginal,Greater Darwin,367
1986,Final,Female,15-,Aboriginal,Top End,404
1986,Final,Female,15-,Non-Aboriginal,Barkly,63
1986,Final,Female,15-,Non-Aboriginal,Big Rivers,163
1986,Final,Female,15-,Non-Aboriginal,Central Australia,553
1986,Final,Female,15-,Non-Aboriginal,East Arnhem,51
1986,Final,Female,15-,Non-Aboriginal,Greater Darwin,3356
1986,Final,Female,15-,Non-Aboriginal,Top End,10
1986,Final,Male,20-,Aboriginal,Barkly,155
1986,Final,Male,20-,Aboriginal,Big Rivers,312
1986,Final,Male,20-,Aboriginal,Central Australia,414
1986,Final,Male,20-,Aboriginal,East Arnhem,252
1986,Final,Male,20-,Aboriginal,Greater Darwin,253
1986,Final,Male,20-,Aboriginal,Top End,368
1986,Final,Male,20-,Non-Aboriginal,Barkly,169
1986,Final,Male,20-,Non-Aboriginal,Big Rivers,602
1986,Final,Male,20-,Non-Aboriginal,Central Australia,1133
1986,Final,Male,20-,Non-Aboriginal,East Arnhem,146
1986,Final,Male,20-,Non-Aboriginal,Greater Darwin,4389
1986,Final,Male,20-,Non-Aboriginal,Top End,192
1986,Final,Female,20-,Aboriginal,Barkly,164
1986,Final,Female,20-,Aboriginal,Big Rivers,374
1986,Final,Female,20-,Aboriginal,Central Australia,519
1986,Final,Female,20-,Aboriginal,East Arnhem,215
1986,Final,Female,20-,Aboriginal,Greater Darwin,302
1986,Final,Female,20-,Aboriginal,Top End,376
1986,Final,Female,20-,Non-Aboriginal,Barkly,151
1986,Final,Female,20-,Non-Aboriginal,Big Rivers,426
1986,Final,Female,20-,Non-Aboriginal,Central Australia,1094
1986,Final,Female,20-,Non-Aboriginal,East Arnhem,106
1986,Final,Female,20-,Non-Aboriginal,Greater Darwin,3919
1986,Final,Female,20-,Non-Aboriginal,Top End,120
1986,Final,Male,25-,Aboriginal,Barkly,132
1986,Final,Male,25-,Aboriginal,Big Rivers,270
1986,Final,Male,25-,Aboriginal,Central Australia,388
1986,Final,Male,25-,Aboriginal,East Arnhem,233
1986,Final,Male,25-,Aboriginal,Greater Darwin,242
1986,Final,Male,25-,Aboriginal,Top End,253
1986,Final,Male,25-,Non-Aboriginal,Barkly,160
1986,Final,Male,25-,Non-Aboriginal,Big Rivers,678
1986,Final,Male,25-,Non-Aboriginal,Central Australia,1415
1986,Final,Male,25-,Non-Aboriginal,East Arnhem,213
1986,Final,Male,25-,Non-Aboriginal,Greater Darwin,4586
1986,Final,Male,25-,Non-Aboriginal,Top End,266
1986,Final,Female,25-,Aboriginal,Barkly,162
1986,Final,Female,25-,Aboriginal,Big Rivers,312
1986,Final,Female,25-,Aboriginal,Central Australia,539
1986,Final,Female,25-,Aboriginal,East Arnhem,202
1986,Final,Female,25-,Aboriginal,Greater Darwin,244
1986,Final,Female,25-,Aboriginal,Top End,315
1986,Final,Female,25-,Non-Aboriginal,Barkly,136
1986,Final,Female,25-,Non-Aboriginal,Big Rivers,501
1986,Final,Female,25-,Non-Aboriginal,Central Australia,1221
1986,Final,Female,25-,Non-Aboriginal,East Arnhem,165
1986,Final,Female,25-,Non-Aboriginal,Greater Darwin,4359
1986,Final,Female,25-,Non-Aboriginal,Top End,230
1986,Final,Male,30-,Aboriginal,Barkly,77
1986,Final,Male,30-,Aboriginal,Big Rivers,159
1986,Final,Male,30-,Aboriginal,Central Australia,290
1986,Final,Male,30-,Aboriginal,East Arnhem,192
1986,Final,Male,30-,Aboriginal,Greater Darwin,155
1986,Final,Male,30-,Aboriginal,Top End,175
1986,Final,Male,30-,Non-Aboriginal,Barkly,144
1986,Final,Male,30-,Non-Aboriginal,Big Rivers,587
1986,Final,Male,30-,Non-Aboriginal,Central Australia,1264
1986,Final,Male,30-,Non-Aboriginal,East Arnhem,259
1986,Final,Male,30-,Non-Aboriginal,Greater Darwin,4424
1986,Final,Male,30-,Non-Aboriginal,Top End,252
1986,Final,Female,30-,Aboriginal,Barkly,104
1986,Final,Female,30-,Aboriginal,Big Rivers,186
1986,Final,Female,30-,Aboriginal,Central Australia,327
1986,Final,Female,30-,Aboriginal,East Arnhem,155
1986,Final,Female,30-,Aboriginal,Greater Darwin,216
1986,Final,Female,30-,Aboriginal,Top End,192
1986,Final,Female,30-,Non-Aboriginal,Barkly,103
1986,Final,Female,30-,Non-Aboriginal,Big Rivers,449
1986,Final,Female,30-,Non-Aboriginal,Central Australia,1108
1986,Final,Female,30-,Non-Aboriginal,East Arnhem,279
1986,Final,Female,30-,Non-Aboriginal,Greater Darwin,4088
1986,Final,Female,30-,Non-Aboriginal,Top End,200
1986,Final,Male,35-,Aboriginal,Barkly,77
1986,Final,Male,35-,Aboriginal,Big Rivers,159
1986,Final,Male,35-,Aboriginal,Central Australia,244
1986,Final,Male,35-,Aboriginal,East Arnhem,186
1986,Final,Male,35-,Aboriginal,Greater Darwin,168
1986,Final,Male,35-,Aboriginal,Top End,172
1986,Final,Male,35-,Non-Aboriginal,Barkly,135
1986,Final,Male,35-,Non-Aboriginal,Big Rivers,543
1986,Final,Male,35-,Non-Aboriginal,Central Australia,1087
1986,Final,Male,35-,Non-Aboriginal,East Arnhem,337
1986,Final,Male,35-,Non-Aboriginal,Greater Darwin,4513
1986,Final,Male,35-,Non-Aboriginal,Top End,279
1986,Final,Female,35-,Aboriginal,Barkly,110
1986,Final,Female,35-,Aboriginal,Big Rivers,202
1986,Final,Female,35-,Aboriginal,Central Australia,315
1986,Final,Female,35-,Aboriginal,East Arnhem,188
1986,Final,Female,35-,Aboriginal,Greater Darwin,202
1986,Final,Female,35-,Aboriginal,Top End,191
1986,Final,Female,35-,Non-Aboriginal,Barkly,105
1986,Final,Female,35-,Non-Aboriginal,Big Rivers,317
1986,Final,Female,35-,Non-Aboriginal,Central Australia,895
1986,Final,Female,35-,Non-Aboriginal,East Arnhem,241
1986,Final,Female,35-,Non-Aboriginal,Greater Darwin,3663
1986,Final,Female,35-,Non-Aboriginal,Top End,159
1986,Final,Male,40-,Aboriginal,Barkly,57
1986,Final,Male,40-,Aboriginal,Big Rivers,114
1986,Final,Male,40-,Aboriginal,Central Australia,170
1986,Final,Male,40-,Aboriginal,East Arnhem,121
1986,Final,Male,40-,Aboriginal,Greater Darwin,131
1986,Final,Male,40-,Aboriginal,Top End,114
1986,Final,Male,40-,Non-Aboriginal,Barkly,118
1986,Final,Male,40-,Non-Aboriginal,Big Rivers,351
1986,Final,Male,40-,Non-Aboriginal,Central Australia,746
1986,Final,Male,40-,Non-Aboriginal,East Arnhem,256
1986,Final,Male,40-,Non-Aboriginal,Greater Darwin,3346
1986,Final,Male,40-,Non-Aboriginal,Top End,177
1986,Final,Female,40-,Aboriginal,Barkly,67
1986,Final,Female,40-,Aboriginal,Big Rivers,121
1986,Final,Female,40-,Aboriginal,Central Australia,222
1986,Final,Female,40-,Aboriginal,East Arnhem,95
1986,Final,Female,40-,Aboriginal,Greater Darwin,126
1986,Final,Female,40-,Aboriginal,Top End,115
1986,Final,Female,40-,Non-Aboriginal,Barkly,83
1986,Final,Female,40-,Non-Aboriginal,Big Rivers,188
1986,Final,Female,40-,Non-Aboriginal,Central Australia,555
1986,Final,Female,40-,Non-Aboriginal,East Arnhem,128
1986,Final,Female,40-,Non-Aboriginal,Greater Darwin,2599
1986,Final,Female,40-,Non-Aboriginal,Top End,86
1986,Final,Male,45-,Aboriginal,Barkly,43
1986,Final,Male,45-,Aboriginal,Big Rivers,77
1986,Final,Male,45-,Aboriginal,Central Australia,112
1986,Final,Male,45-,Aboriginal,East Arnhem,92
1986,Final,Male,45-,Aboriginal,Greater Darwin,103
1986,Final,Male,45-,Aboriginal,Top End,85
1986,Final,Male,45-,Non-Aboriginal,Barkly,96
1986,Final,Male,45-,Non-Aboriginal,Big Rivers,275
1986,Final,Male,45-,Non-Aboriginal,Central Australia,595
1986,Final,Male,45-,Non-Aboriginal,East Arnhem,190
1986,Final,Male,45-,Non-Aboriginal,Greater Darwin,2302
1986,Final,Male,45-,Non-Aboriginal,Top End,154
1986,Final,Female,45-,Aboriginal,Barkly,43
1986,Final,Female,45-,Aboriginal,Big Rivers,84
1986,Final,Female,45-,Aboriginal,Central Australia,153
1986,Final,Female,45-,Aboriginal,East Arnhem,61
1986,Final,Female,45-,Aboriginal,Greater Darwin,94
1986,Final,Female,45-,Aboriginal,Top End,87
1986,Final,Female,45-,Non-Aboriginal,Barkly,59
1986,Final,Female,45-,Non-Aboriginal,Big Rivers,162
1986,Final,Female,45-,Non-Aboriginal,Central Australia,474
1986,Final,Female,45-,Non-Aboriginal,East Arnhem,95
1986,Final,Female,45-,Non-Aboriginal,Greater Darwin,1665
1986,Final,Female,45-,Non-Aboriginal,Top End,85
1986,Final,Male,5-,Aboriginal,Barkly,241
1986,Final,Male,5-,Aboriginal,Big Rivers,426
1986,Final,Male,5-,Aboriginal,Central Australia,590
1986,Final,Male,5-,Aboriginal,East Arnhem,412
1986,Final,Male,5-,Aboriginal,Greater Darwin,396
1986,Final,Male,5-,Aboriginal,Top End,416
1986,Final,Male,5-,Non-Aboriginal,Barkly,73
1986,Final,Male,5-,Non-Aboriginal,Big Rivers,458
1986,Final,Male,5-,Non-Aboriginal,Central Australia,868
1986,Final,Male,5-,Non-Aboriginal,East Arnhem,255
1986,Final,Male,5-,Non-Aboriginal,Greater Darwin,3475
1986,Final,Male,5-,Non-Aboriginal,Top End,108
1986,Final,Female,5-,Aboriginal,Barkly,214
1986,Final,Female,5-,Aboriginal,Big Rivers,413
1986,Final,Female,5-,Aboriginal,Central Australia,610
1986,Final,Female,5-,Aboriginal,East Arnhem,334
1986,Final,Female,5-,Aboriginal,Greater Darwin,333
1986,Final,Female,5-,Aboriginal,Top End,432
1986,Final,Female,5-,Non-Aboriginal,Barkly,72
1986,Final,Female,5-,Non-Aboriginal,Big Rivers,364
1986,Final,Female,5-,Non-Aboriginal,Central Australia,735
1986,Final,Female,5-,Non-Aboriginal,East Arnhem,210
1986,Final,Female,5-,Non-Aboriginal,Greater Darwin,3222
1986,Final,Female,5-,Non-Aboriginal,Top End,113
1986,Final,Male,50-,Aboriginal,Barkly,40
1986,Final,Male,50-,Aboriginal,Big Rivers,65
1986,Final,Male,50-,Aboriginal,Central Australia,103
1986,Final,Male,50-,Aboriginal,East Arnhem,50
1986,Final,Male,50-,Aboriginal,Greater Darwin,46
1986,Final,Male,50-,Aboriginal,Top End,48
1986,Final,Male,50-,Non-Aboriginal,Barkly,86
1986,Final,Male,50-,Non-Aboriginal,Big Rivers,222
1986,Final,Male,50-,Non-Aboriginal,Central Australia,415
1986,Final,Male,50-,Non-Aboriginal,East Arnhem,103
1986,Final,Male,50-,Non-Aboriginal,Greater Darwin,1552
1986,Final,Male,50-,Non-Aboriginal,Top End,108
1986,Final,Female,50-,Aboriginal,Barkly,35
1986,Final,Female,50-,Aboriginal,Big Rivers,75
1986,Final,Female,50-,Aboriginal,Central Australia,115
1986,Final,Female,50-,Aboriginal,East Arnhem,29
1986,Final,Female,50-,Aboriginal,Greater Darwin,44
1986,Final,Female,50-,Aboriginal,Top End,55
1986,Final,Female,50-,Non-Aboriginal,Barkly,37
1986,Final,Female,50-,Non-Aboriginal,Big Rivers,122
1986,Final,Female,50-,Non-Aboriginal,Central Australia,340
1986,Final,Female,50-,Non-Aboriginal,East Arnhem,42
1986,Final,Female,50-,Non-Aboriginal,Greater Darwin,1129
1986,Final,Female,50-,Non-Aboriginal,Top End,56
1986,Final,Male,55-,Aboriginal,Barkly,22
1986,Final,Male,55-,Aboriginal,Big Rivers,69
1986,Final,Male,55-,Aboriginal,Central Australia,83
1986,Final,Male,55-,Aboriginal,East Arnhem,34
1986,Final,Male,55-,Aboriginal,Greater Darwin,33
1986,Final,Male,55-,Aboriginal,Top End,50
1986,Final,Male,55-,Non-Aboriginal,Barkly,75
1986,Final,Male,55-,Non-Aboriginal,Big Rivers,210
1986,Final,Male,55-,Non-Aboriginal,Central Australia,371
1986,Final,Male,55-,Non-Aboriginal,East Arnhem,71
1986,Final,Male,55-,Non-Aboriginal,Greater Darwin,1225
1986,Final,Male,55-,Non-Aboriginal,Top End,104
1986,Final,Female,55-,Aboriginal,Barkly,19
1986,Final,Female,55-,Aboriginal,Big Rivers,62
1986,Final,Female,55-,Aboriginal,Central Australia,92
1986,Final,Female,55-,Aboriginal,East Arnhem,25
1986,Final,Female,55-,Aboriginal,Greater Darwin,25
1986,Final,Female,55-,Aboriginal,Top End,46
1986,Final,Female,55-,Non-Aboriginal,Barkly,44
1986,Final,Female,55-,Non-Aboriginal,Big Rivers,101
1986,Final,Female,55-,Non-Aboriginal,Central Australia,247
1986,Final,Female,55-,Non-Aboriginal,East Arnhem,20
1986,Final,Female,55-,Non-Aboriginal,Greater Darwin,842
1986,Final,Female,55-,Non-Aboriginal,Top End,65
1986,Final,Male,60-,Aboriginal,Barkly,21
1986,Final,Male,60-,Aboriginal,Big Rivers,39
1986,Final,Male,60-,Aboriginal,Central Australia,70
1986,Final,Male,60-,Aboriginal,East Arnhem,16
1986,Final,Male,60-,Aboriginal,Greater Darwin,24
1986,Final,Male,60-,Aboriginal,Top End,31
1986,Final,Male,60-,Non-Aboriginal,Barkly,63
1986,Final,Male,60-,Non-Aboriginal,Big Rivers,144
1986,Final,Male,60-,Non-Aboriginal,Central Australia,224
1986,Final,Male,60-,Non-Aboriginal,East Arnhem,20
1986,Final,Male,60-,Non-Aboriginal,Greater Darwin,776
1986,Final,Male,60-,Non-Aboriginal,Top End,71
1986,Final,Female,60-,Aboriginal,Barkly,30
1986,Final,Female,60-,Aboriginal,Big Rivers,48
1986,Final,Female,60-,Aboriginal,Central Australia,76
1986,Final,Female,60-,Aboriginal,East Arnhem,12
1986,Final,Female,60-,Aboriginal,Greater Darwin,23
1986,Final,Female,60-,Aboriginal,Top End,39
1986,Final,Female,60-,Non-Aboriginal,Barkly,26
1986,Final,Female,60-,Non-Aboriginal,Big Rivers,90
1986,Final,Female,60-,Non-Aboriginal,Central Australia,199
1986,Final,Female,60-,Non-Aboriginal,East Arnhem,2
1986,Final,Female,60-,Non-Aboriginal,Greater Darwin,676
1986,Final,Female,60-,Non-Aboriginal,Top End,47
1986,Final,Male,65-,Aboriginal,Barkly,17
1986,Final,Male,65-,Aboriginal,Big Rivers,27
1986,Final,Male,65-,Aboriginal,Central Australia,39
1986,Final,Male,65-,Aboriginal,East Arnhem,14
1986,Final,Male,65-,Aboriginal,Greater Darwin,11
1986,Final,Male,65-,Aboriginal,Top End,13
1986,Final,Male,65-,Non-Aboriginal,Barkly,31
1986,Final,Male,65-,Non-Aboriginal,Big Rivers,89
1986,Final,Male,65-,Non-Aboriginal,Central Australia,149
1986,Final,Male,65-,Non-Aboriginal,East Arnhem,3
1986,Final,Male,65-,Non-Aboriginal,Greater Darwin,466
1986,Final,Male,65-,Non-Aboriginal,Top End,38
1986,Final,Female,65-,Aboriginal,Barkly,17
1986,Final,Female,65-,Aboriginal,Big Rivers,34
1986,Final,Female,65-,Aboriginal,Central Australia,52
1986,Final,Female,65-,Aboriginal,East Arnhem,8
1986,Final,Female,65-,Aboriginal,Greater Darwin,20
1986,Final,Female,65-,Aboriginal,Top End,22
1986,Final,Female,65-,Non-Aboriginal,Barkly,18
1986,Final,Female,65-,Non-Aboriginal,Big Rivers,60
1986,Final,Female,65-,Non-Aboriginal,Central Australia,127
1986,Final,Female,65-,Non-Aboriginal,East Arnhem,3
1986,Final,Female,65-,Non-Aboriginal,Greater Darwin,449
1986,Final,Female,65-,Non-Aboriginal,Top End,33
1986,Final,Male,70-,Aboriginal,Barkly,9
1986,Final,Male,70-,Aboriginal,Big Rivers,15
1986,Final,Male,70-,Aboriginal,Central Australia,25
1986,Final,Male,70-,Aboriginal,East Arnhem,9
1986,Final,Male,70-,Aboriginal,Greater Darwin,8
1986,Final,Male,70-,Aboriginal,Top End,8
1986,Final,Male,70-,Non-Aboriginal,Barkly,16
1986,Final,Male,70-,Non-Aboriginal,Big Rivers,55
1986,Final,Male,70-,Non-Aboriginal,Central Australia,79
1986,Final,Male,70-,Non-Aboriginal,East Arnhem,0
1986,Final,Male,70-,Non-Aboriginal,Greater Darwin,304
1986,Final,Male,70-,Non-Aboriginal,Top End,20
1986,Final,Female,70-,Aboriginal,Barkly,10
1986,Final,Female,70-,Aboriginal,Big Rivers,20
1986,Final,Female,70-,Aboriginal,Central Australia,36
1986,Final,Female,70-,Aboriginal,East Arnhem,4
1986,Final,Female,70-,Aboriginal,Greater Darwin,10
1986,Final,Female,70-,Aboriginal,Top End,9
1986,Final,Female,70-,Non-Aboriginal,Barkly,5
1986,Final,Female,70-,Non-Aboriginal,Big Rivers,28
1986,Final,Female,70-,Non-Aboriginal,Central Australia,76
1986,Final,Female,70-,Non-Aboriginal,East Arnhem,0
1986,Final,Female,70-,Non-Aboriginal,Greater Darwin,289
1986,Final,Female,70-,Non-Aboriginal,Top End,13
1986,Final,Male,75-,Aboriginal,Barkly,4
1986,Final,Male,75-,Aboriginal,Big Rivers,9
1986,Final,Male,75-,Aboriginal,Central Australia,15
1986,Final,Male,75-,Aboriginal,East Arnhem,4
1986,Final,Male,75-,Aboriginal,Greater Darwin,3
1986,Final,Male,75-,Aboriginal,Top End,5
1986,Final,Male,75-,Non-Aboriginal,Barkly,6
1986,Final,Male,75-,Non-Aboriginal,Big Rivers,28
1986,Final,Male,75-,Non-Aboriginal,Central Australia,47
1986,Final,Male,75-,Non-Aboriginal,East Arnhem,0
1986,Final,Male,75-,Non-Aboriginal,Greater Darwin,174
1986,Final,Male,75-,Non-Aboriginal,Top End,7
1986,Final,Female,75-,Aboriginal,Barkly,7
